info_outlet,Ausgangssignal(e) aus einem Subpatch.,Output signal(s) from a subpatch.,
info_pink,Erzeugt Rauschen mit abnehmender Energie pro Oktave.,Generates noise with decreasing energy per octave.,
info_puls,Erzeugt eine Rechteckwelle mit regelbarer Pulsbreite und vielen Obertönen.,Generates a square wave with adjustable pulse width and many overtones.,
info_ramp,Erzeugt einen Verlauf zwischen einem Start- und einem Endwert.,Creates a ramp between a start and an end value.,
info_random,Erzeugt eine Zufallszahl zwischen Min und Max.,Creates a random number between Min and Max.,
info_rect,Erzeugt eine Rechteckschwingung.,Generates a square wave.,
info_saw,Erzeugt eine Sägezahnschwingung.,Generates a sawtooth wave.,
info_scaler,Skaliert Eingabewerte auf einen bestimmten Bereich.,Scales input values to a specific range.,
info_sine,Erzeugt eine Sinusschwingung.,Generates a sine wave.,
info_touchpadGUI,Eine grafische Benutzerschnittstelle für 2-dimensionale Dateneingabe,A graphical user interface for 2-dimensional data input,
info_undefined,Keine Beschreibung vorhanden.,No description available.,
info_visual,Bietet visuelles Feedback für Interaktionen und Modulationen.,Provides visual feedback for interactions and modulations.,
,,,
// Alerts,,,
alert_tooManyConnectionsForEncapsulation,"Aus den ausgewählten Modulen kann kein Subpatch erstellt werden, weil ein Subpatch nicht mehr als %1 Ein- oder Ausgänge zulässt.","The selected modules cannot be used to create a subpatch, as a subpatch does not allow more than %1 inputs or outputs.",
alert_patchAlreadyExists,In deinem Arbeitsbereich existiert bereits ein Patch mit dem Namen '%1'.,There is already a patch called '%1' in your workspace.,
alert_patchAlreadyExists_add,"Möchtest du...<br>– mit dem Patch in deinem Arbeitsbereich weiterarbeiten?<br>– den Patch in deinem Arbeitsbereich überschreiben?<br>– den Patch umbenennen, bevor du ihn importierst?",Would you like to...<br>– continue working with the patch in your workspace?<br>– overwrite the patch in your workspace?<br>– rename the patch before importing it?,
alert_unknownIdentifier,Das Laden des Patches ist fehlgeschlagen. Die Kennung '%1' ist ungültig., Failed to load the patch. The identifier '%1' is invalid.,
alert_webSerial,Diese Funktion ist in diesem Browser nicht verfügbar,This function is not available in this browser,
